15.827071000,37
15.837235000,1
15.837338000,4
15.837350000,128
15.863346000,128
15.874310000,1
15.884664000,37
16.088384000,1
16.099305000,37
16.110371000,1
16.110391000,2896
16.110397000,5792
16.110400000,8688
16.110404000,11584
16.110407000,14480
16.124993000,8688
16.127468000,8688
16.129871000,8688
16.138092000,5792
16.138103000,8688
16.138130000,10136
16.140077000,10136
16.148278000,10136
16.148286000,11584
16.153286000,10136
16.153306000,10136
16.153344000,11584
16.158869000,11584
16.160290000,13032
16.163912000,13032
16.165605000,13032
16.167844000,13032
16.169022000,13032
16.171120000,13032
16.171151000,14480
16.174085000,14480
16.179603000,13032
16.179610000,14480
16.179624000,14480
16.183436000,14480
16.187163000,13032
16.187171000,15928
16.190856000,15928
16.193240000,15928
16.195109000,13032
16.198263000,11584
16.200160000,10136
16.205734000,7240
16.207844000,7240
16.208361000,7240
16.210555000,7240
16.215904000,7240
16.215913000,8688
16.218648000,8688
16.218670000,8688
16.221460000,8688
16.226544000,8688
16.229830000,7240
16.232113000,5792
16.237840000,4344
16.240530000,4344
16.248920000,2896
16.248931000,4344
16.251584000,5792
16.259736000,5792
16.259757000,5792
16.262614000,5792
16.262627000,7240
16.270320000,7240
16.270326000,7240
16.273221000,7240
16.274996000,8688
16.280488000,8688
16.280505000,8688
16.284111000,8688
16.285991000,8688
16.285997000,10136
16.291422000,10136
16.294571000,10136
16.296499000,10136
16.298869000,11584
16.301656000,11584
16.304709000,11584
16.307353000,11584
16.309038000,11584
16.309046000,13032
16.312388000,13032
16.314826000,13032
16.317685000,13032
16.320158000,13032
16.321056000,14480
16.323131000,14480
16.325261000,14480
16.328240000,14480
16.330359000,14480
16.333469000,14480
16.333554000,15928
16.334935000,15928
16.336950000,15928
16.339552000,15928
16.341941000,15928
16.344765000,15928
16.347800000,14480
16.347809000,17376
16.350667000,17376
16.352610000,17376
16.360166000,11584
16.360180000,14480
16.360198000,17376
16.363654000,17376
16.365316000,17376
16.367382000,17376
16.367394000,18824
16.371130000,18824
16.372573000,18824
16.374871000,18824
16.377063000,18824
16.377074000,20272
16.380021000,20272
16.382935000,20272
16.385536000,18824
16.385553000,20272
16.388041000,20272
16.390675000,20272
16.392680000,20272
16.392784000,21720
16.396238000,20272
16.396250000,21720
16.398694000,21720
16.401140000,21720
16.404745000,20272
16.404757000,21720
16.407665000,21720
16.409566000,21720
16.413330000,20272
16.413343000,23168
16.416763000,21720
16.422501000,17376
16.423515000,15928
16.425952000,14480
16.431172000,11584
16.433544000,11584
16.436288000,8688
16.436299000,11584
16.441968000,11584
16.447285000,8688
16.447294000,11584
16.447894000,11584
16.452828000,11584
16.452845000,13032
16.458020000,13032
16.459383000,13032
16.461922000,13032
16.463765000,13032
16.467496000,14480
16.468131000,14480
16.470306000,14480
16.472531000,14480
16.475534000,14480
16.477609000,14480
16.477614000,15928
16.480583000,15928
16.482261000,15928
16.485670000,13032
16.487752000,10136
16.490520000,10136
16.493327000,7240
16.495815000,7240
16.503956000,4344
16.503965000,4344
16.503979000,7240
16.506834000,7240
16.514797000,7240
16.515765000,7240
16.518423000,8688
16.525013000,8688
16.526572000,8688
16.528526000,8688
16.528532000,10136
16.535178000,10136
16.536739000,10136
16.538824000,10136
16.546081000,8688
16.546090000,11584
16.548243000,11584
16.549166000,11584
16.558151000,8688
16.558157000,11584
16.558168000,13032
16.561188000,13032
16.563375000,13032
16.568969000,13032
16.569519000,13032
16.572021000,10136
16.580106000,4344
16.580120000,7240
16.583613000,7240
16.591333000,7240
16.592456000,7240
16.603959000,5792
16.603965000,8688
16.614808000,5792
16.616245000,2896
16.616252000,4344
16.625851000,4344
16.627813000,4344
16.636708000,4344
16.636714000,5792
16.648492000,4344
16.648498000,5792
16.659870000,4344
16.659878000,7240
16.670863000,5792
16.670874000,8688
16.672109000,8688
16.681554000,8688
16.682702000,8688
16.682710000,10136
16.685010000,10136
16.693734000,7240
16.693745000,10136
16.696904000,8688
16.696912000,11584
16.703968000,11584
16.705037000,11584
16.708306000,11584
16.708317000,13032
16.709897000,13032
16.714211000,13032
16.715957000,13032
16.719235000,13032
16.722215000,11584
16.722225000,14480
16.724415000,14480
16.727337000,14480
16.729550000,14480
16.732467000,14480
16.732478000,15928
16.734297000,15928
16.736476000,15928
16.738370000,15928
16.740798000,15928
16.743732000,15928
16.744866000,13032
16.746931000,10136
16.752372000,7240
16.756077000,7240
16.756087000,7240
16.757447000,7240
16.763236000,7240
16.766610000,7240
16.766617000,8688
16.773388000,5792
16.777231000,4344
16.779112000,4344
16.784158000,4344
16.789328000,4344
16.789341000,5792
16.799472000,4344
16.799477000,5792
16.809662000,4344
16.809674000,7240
16.819803000,5792
16.819810000,8688
16.820958000,8688
16.829936000,8688
16.831074000,8688
16.831079000,10136
16.833477000,10136
16.840024000,10136
16.841188000,10136
16.844849000,8688
16.844852000,11584
16.850119000,11584
16.851272000,11584
16.854944000,11584
16.854947000,13032
16.856096000,13032
16.860202000,13032
16.861368000,13032
16.865038000,13032
16.867418000,11584
16.867423000,14480
